ydstogo,yardline_100,game_seconds_remaining,score_differential,posteam_timeouts_remaining,defteam_timeouts_remaining,off_epa_db,off_epa_rush,def_epa_db_allowed,def_epa_rush_allowed,posteam,defteam,qtr,season,fourth_down_converted
4,69,1009,-16,3.0,2.0,0.135029297400626,-0.0621514439010198,-0.0009108983897643,-0.125145709310629,MIN,CHI,3,2019,1
5,74,140,-10,0.0,2.0,0.135029297400626,-0.0621514439010198,-0.0009108983897643,-0.125145709310629,MIN,CHI,4,2019,0
12,28,30,10,1.0,0.0,-0.0484949185728265,-0.157366031514739,-0.0186459880374121,-0.0970454354266318,CHI,MIN,4,2019,0
1,1,1540,-10,3.0,3.0,-0.0322805395690396,-0.0335359204441748,-0.266445986323596,-0.104457274126202,BUF,NE,3,2019,1
3,3,650,-6,0.0,3.0,-0.0322805395690396,-0.0335359204441748,-0.266445986323596,-0.104457274126202,BUF,NE,4,2019,0
3,46,1887,-11,2.0,1.0,-0.0288947981622015,0.0422337878197937,0.222016556591987,-0.0715324495735635,IND,LV,2,2019,1
1,42,1412,11,2.0,3.0,0.179750607009636,-0.0834285737374612,0.0906164969946541,-0.111636246476801,LV,IND,3,2019,1
2,82,539,-14,3.0,2.0,-0.0288947981622015,0.0422337878197937,0.222016556591987,-0.0715324495735635,IND,LV,4,2019,1
6,48,79,-14,3.0,0.0,-0.0288947981622015,0.0422337878197937,0.222016556591987,-0.0715324495735635,IND,LV,4,2019,1
1,1,548,-7,2.0,1.0,0.120788650389576,-0.0266865676462909,0.0493241632520065,-0.158263418934633,GB,PHI,4,2019,0
2,40,1074,-11,3.0,3.0,0.0938823591637847,-0.15270732376403,-0.0156841231956559,-0.181925429774626,LA,TB,3,2019,0
1,39,2157,-10,3.0,2.0,0.057933833520706,-0.109917520730073,0.0347310469110907,-0.0982668670581398,ATL,TEN,2,2019,0
1,30,1218,-14,3.0,2.0,0.057933833520706,-0.109917520730073,0.0347310469110907,-0.0982668670581398,ATL,TEN,3,2019,0
1,10,794,14,2.0,3.0,0.114159952181904,0.0280903143674046,0.130404090390408,-0.0865160043264691,TEN,ATL,4,2019,0
4,82,746,-14,3.0,2.0,0.057933833520706,-0.109917520730073,0.0347310469110907,-0.0982668670581398,ATL,TEN,4,2019,1
4,25,436,-14,3.0,2.0,0.057933833520706,-0.109917520730073,0.0347310469110907,-0.0982668670581398,ATL,TEN,4,2019,0
2,24,3401,0,3.0,3.0,-0.0741175548802771,-0.0591354146593853,0.174341451523053,-0.0034058961918526,NYG,WAS,1,2019,1
2,6,2926,-3,3.0,3.0,0.009720319301181,0.0099021128657974,0.208911413694967,-0.0006980135789059,ARI,CIN,1,2019,1
1,58,1002,-4,3.0,3.0,-0.100603220093765,-0.0843467454619354,0.227115338458957,-0.0979123850006832,CIN,ARI,3,2019,0
2,8,785,-16,3.0,3.0,0.057933833520706,-0.109917520730073,0.134778699079921,-0.0179343873439959,ATL,HOU,4,2019,1
1,44,1450,4,3.0,3.0,0.242103321654931,0.102375945646042,-0.0972441646087349,-0.177224964056479,BAL,PIT,3,2019,1
1,41,2995,0,3.0,3.0,-0.0322805395690396,-0.0335359204441748,0.0347310469110907,-0.0982668670581398,BUF,TEN,1,2019,1
2,31,2896,0,3.0,3.0,-0.0322805395690396,-0.0335359204441748,0.0347310469110907,-0.0982668670581398,BUF,TEN,1,2019,0
1,73,348,-4,1.0,2.0,0.179750607009636,-0.0834285737374612,-0.0009108983897643,-0.125145709310629,LV,CHI,4,2019,1
1,27,1925,11,1.0,1.0,0.149982510963772,-0.0164985580963753,0.0331094260222781,0.0183173501336733,SF,CLE,2,2019,1
1,1,1807,-17,1.0,0.0,0.114717071526237,-0.114772551400137,0.0394974279719467,-0.0585522047295942,LAC,DEN,2,2019,0
1,53,1986,0,3.0,3.0,0.247458679264274,-0.0052199784925181,0.0906164969946541,-0.111636246476801,KC,IND,2,2019,1
1,39,832,3,1.0,3.0,-0.0288947981622015,0.0422337878197937,-0.0202600701271285,0.0435898536004515,IND,KC,4,2019,1
1,27,675,3,0.0,3.0,-0.0288947981622015,0.0422337878197937,-0.0202600701271285,0.0435898536004515,IND,KC,4,2019,1
1,66,306,-6,3.0,0.0,0.247458679264274,-0.0052199784925181,0.0906164969946541,-0.111636246476801,KC,IND,4,2019,0
1,5,719,4,3.0,3.0,-0.0912171037300321,-0.0818678496829534,0.103234149353306,0.0092024785360853,CAR,JAX,4,2019,0
5,5,154,-5,2.0,2.0,0.17439001477562,-0.0815850348570847,0.0085223775335452,-0.0853475778762632,SEA,LA,4,2019,1
2,3,915,-15,3.0,2.0,-0.0741175548802771,-0.0591354146593853,-0.0186459880374121,-0.0970454354266318,NYG,MIN,3,2019,0
12,27,548,-15,2.0,2.0,-0.0741175548802771,-0.0591354146593853,-0.0186459880374121,-0.0970454354266318,NYG,MIN,4,2019,0
2,75,206,-18,0.0,2.0,-0.0741175548802771,-0.0591354146593853,-0.0186459880374121,-0.0970454354266318,NYG,MIN,4,2019,0
4,21,74,18,2.0,0.0,0.135029297400626,-0.0621514439010198,0.192773613179718,-0.123283697826554,MIN,NYG,4,2019,1
1,22,2855,-1,2.0,3.0,0.0377708807265241,-0.069475299972231,0.174341451523053,-0.0034058961918526,NE,WAS,1,2019,0
1,47,3015,-7,3.0,3.0,-0.134619662581781,-0.179995827790576,0.0493241632520065,-0.158263418934633,NYJ,PHI,1,2019,0
5,36,2735,14,3.0,3.0,0.0465152771391996,-0.0759834800828191,0.0305810839980508,-0.169443831671589,PHI,NYJ,1,2019,0
1,40,1634,21,3.0,3.0,0.0465152771391996,-0.0759834800828191,0.0305810839980508,-0.169443831671589,PHI,NYJ,3,2019,0
1,21,3050,0,3.0,3.0,0.160439351780536,-0.0653863890945963,-0.0156841231956559,-0.181925429774626,NO,TB,1,2019,1
1,39,1398,-14,1.0,3.0,0.064139186720183,-0.12414016503821,0.0145120045571845,-0.144556129376769,TB,NO,3,2019,1
3,22,76,14,0.0,0.0,0.160439351780536,-0.0653863890945963,-0.0156841231956559,-0.181925429774626,NO,TB,4,2019,0
2,35,1676,10,3.0,2.0,0.009720319301181,0.0099021128657974,0.130404090390408,-0.0865160043264691,ARI,ATL,3,2019,1
1,1,2771,3,3.0,2.0,-0.0912171037300321,-0.0818678496829534,-0.0156841231956559,-0.181925429774626,CAR,TB,1,2019,1
1,17,336,-19,2.0,3.0,0.064139186720183,-0.12414016503821,0.0165123882273986,0.0961225913147785,TB,CAR,4,2019,1
10,55,151,-11,1.0,3.0,0.064139186720183,-0.12414016503821,0.0165123882273986,0.0961225913147785,TB,CAR,4,2019,0
2,7,2031,-4,3.0,2.0,0.200384032524924,0.0292480725158598,0.0305810839980508,-0.169443831671589,DAL,NYJ,2,2019,0
1,1,3101,3,3.0,3.0,0.0284144217193733,-0.134043119960541,-0.0192840355132985,0.0433734070575805,DET,GB,1,2019,1
1,21,2093,-8,2.0,3.0,0.105725820520464,-0.0031638968198105,-0.0202600701271285,0.0435898536004515,HOU,KC,2,2019,1
1,40,1839,-1,1.0,3.0,0.105725820520464,-0.0031638968198105,-0.0202600701271285,0.0435898536004515,HOU,KC,2,2019,0
3,27,120,7,3.0,0.0,0.105725820520464,-0.0031638968198105,-0.0202600701271285,0.0435898536004515,HOU,KC,4,2019,1
2,40,555,-7,1.0,3.0,-0.0420851417742706,-0.0744431314050357,0.0145120045571845,-0.144556129376769,JAX,NO,4,2019,0
1,19,3387,0,3.0,3.0,0.0377708807265241,-0.069475299972231,0.192773613179718,-0.123283697826554,NE,NYG,1,2019,0
5,32,573,7,3.0,3.0,0.0377708807265241,-0.069475299972231,0.192773613179718,-0.123283697826554,NE,NYG,4,2019,0
10,63,172,-21,0.0,3.0,-0.0741175548802771,-0.0591354146593853,-0.266445986323596,-0.104457274126202,NYG,NE,4,2019,0
2,49,2383,-14,3.0,3.0,0.0465152771391996,-0.0759834800828191,-0.0186459880374121,-0.0970454354266318,PHI,MIN,2,2019,0
4,21,1820,-14,0.0,3.0,0.0465152771391996,-0.0759834800828191,-0.0186459880374121,-0.0970454354266318,PHI,MIN,2,2019,0
15,67,406,-18,3.0,3.0,0.0465152771391996,-0.0759834800828191,-0.0186459880374121,-0.0970454354266318,PHI,MIN,4,2019,1
5,26,200,18,2.0,0.0,0.135029297400626,-0.0621514439010198,0.0493241632520065,-0.158263418934633,MIN,PHI,4,2019,1
7,38,3064,1,3.0,3.0,-0.0225811426797235,-0.0598958622084029,0.050436516288713,-0.0066489881886336,CLE,SEA,1,2019,1
3,23,864,-5,3.0,2.0,-0.0225811426797235,-0.0598958622084029,0.050436516288713,-0.0066489881886336,CLE,SEA,4,2019,1
1,1,643,-5,2.0,2.0,-0.0225811426797235,-0.0598958622084029,0.050436516288713,-0.0066489881886336,CLE,SEA,4,2019,0
1,1,2000,0,2.0,2.0,0.0938823591637847,-0.15270732376403,-0.128978308664097,-0.094091408790375,LA,SF,2,2019,0
1,41,1816,0,1.0,0.0,0.149982510963772,-0.0164985580963753,0.0085223775335452,-0.0853475778762632,SF,LA,2,2019,1
1,56,626,-13,3.0,1.0,0.0938823591637847,-0.15270732376403,-0.128978308664097,-0.094091408790375,LA,SF,4,2019,0
2,28,459,-13,3.0,1.0,0.0938823591637847,-0.15270732376403,-0.128978308664097,-0.094091408790375,LA,SF,4,2019,0
